UNITID,COSTT4_A,COSTT4_P
139746,NULL,NULL
140146,NULL,NULL
140562,NULL,NULL
140827,NULL,NULL
142054,NULL,NULL
142832,NULL,NULL
142957,NULL,NULL
143233,NULL,NULL
143297,NULL,NULL
143303,NULL,NULL
143659,NULL,NULL
143853,NULL,NULL
143978,NULL,NULL
144014,NULL,NULL
144573,NULL,NULL
145275,NULL,NULL
145558,NULL,NULL
145628,NULL,NULL
145886,NULL,NULL
146490,NULL,NULL
146533,NULL,NULL
146728,NULL,NULL
146755,NULL,NULL
146977,NULL,NULL
147031,NULL,NULL
147590,NULL,NULL
147697,NULL,NULL
148016,NULL,NULL
148511,NULL,NULL
148575,NULL,NULL
148593,NULL,NULL
148885,NULL,NULL
148982,NULL,NULL
149763,NULL,NULL
150215,NULL,NULL
150288,NULL,NULL
151865,NULL,NULL
152451,NULL,NULL
152798,NULL,NULL
153241,NULL,NULL
153542,NULL,NULL
154156,NULL,NULL
154174,NULL,NULL
154536,NULL,NULL
155636,NULL,NULL
156222,NULL,NULL
156471,NULL,NULL
156727,NULL,NULL
157207,NULL,NULL
157298,NULL,NULL
157748,NULL,NULL
158325,NULL,NULL
159373,NULL,NULL
159948,NULL,NULL
163259,NULL,NULL
164085,NULL,NULL
164155,NULL,NULL
164599,NULL,NULL
164915,NULL,NULL
165167,NULL,NULL
165264,NULL,NULL
165495,NULL,NULL
165945,NULL,NULL
166045,NULL,NULL
166407,NULL,NULL
166708,NULL,NULL
166717,NULL,NULL
166869,NULL,NULL
167039,NULL,NULL
167093,NULL,NULL
167215,NULL,NULL
167464,NULL,NULL
167677,NULL,NULL
169099,NULL,NULL
169220,NULL,NULL
169424,NULL,NULL
170286,NULL,NULL
172325,NULL,NULL
172477,NULL,NULL
172608,NULL,NULL
172705,NULL,NULL
173683,NULL,NULL
173896,NULL,NULL
173957,NULL,NULL
175139,NULL,NULL
175281,NULL,NULL
176451,NULL,NULL
176600,NULL,NULL
176770,NULL,NULL
177038,NULL,NULL
177092,NULL,NULL
177126,NULL,NULL
177278,NULL,NULL
177719,NULL,NULL
177816,NULL,NULL
177834,NULL,NULL
178004,NULL,NULL
178518,NULL,NULL
178989,NULL,NULL
179317,NULL,NULL
179812,NULL,NULL
180717,NULL,NULL
181145,NULL,NULL
181428,NULL,NULL
182829,NULL,NULL
183248,NULL,NULL
183600,NULL,NULL
183804,NULL,NULL
184968,NULL,NULL
185758,NULL,NULL
186122,NULL,NULL
186405,NULL,NULL
186423,NULL,NULL
187046,NULL,NULL
188207,NULL,NULL
188535,NULL,NULL
188580,NULL,NULL
189015,NULL,NULL
189255,NULL,NULL
189282,NULL,NULL
189501,NULL,NULL
189981,NULL,NULL
190071,NULL,NULL
190080,NULL,NULL
190424,NULL,NULL
190576,NULL,NULL
190682,NULL,NULL
190956,NULL,NULL
191320,NULL,NULL
191597,NULL,NULL
192800,NULL,NULL
192961,NULL,NULL
192970,NULL,NULL
193405,NULL,NULL
193751,NULL,NULL
193821,NULL,NULL
193830,NULL,NULL
193894,NULL,NULL
194073,NULL,NULL
194189,NULL,NULL
194718,NULL,NULL
195049,NULL,NULL
195155,NULL,NULL
195438,NULL,NULL
195580,NULL,NULL
195702,NULL,NULL
196228,NULL,NULL
196255,NULL,NULL
196307,NULL,NULL
196468,NULL,NULL
196680,NULL,NULL
196884,NULL,NULL
197036,NULL,NULL
198677,NULL,NULL
199883,NULL,NULL
200697,NULL,NULL
201034,NULL,NULL
201140,NULL,NULL
201867,NULL,NULL
202912,NULL,NULL
203067,NULL,NULL
203997,NULL,NULL
204334,NULL,NULL
204477,NULL,NULL
204990,NULL,NULL
205090,NULL,NULL
206172,NULL,NULL
206288,NULL,NULL
206516,NULL,NULL
207315,NULL,NULL
207342,NULL,NULL
208637,NULL,NULL
209296,NULL,NULL
209490,NULL,NULL
210368,NULL,NULL
210438,NULL,NULL
210508,NULL,NULL
210809,NULL,NULL
211130,NULL,NULL
212443,NULL,NULL
212771,NULL,NULL
212805,NULL,NULL
213215,NULL,NULL
213446,NULL,NULL
213631,NULL,NULL
213932,NULL,NULL
214564,NULL,NULL
215123,NULL,NULL
215390,NULL,NULL
215424,NULL,NULL
215479,NULL,NULL
215619,NULL,NULL
215813,NULL,NULL
216162,NULL,NULL
216348,NULL,NULL
216463,NULL,NULL
216630,NULL,NULL
216816,NULL,NULL
218335,NULL,NULL
218751,NULL,NULL
219170,NULL,NULL
219240,NULL,NULL
219338,NULL,NULL
219392,NULL,NULL
219842,NULL,NULL
219851,NULL,NULL
220792,NULL,NULL
220871,NULL,NULL
220996,NULL,NULL
