Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020
173045,Augsburg University,7,418,6,636,1,563,0.016746411483253589,0.009433962264150943,0.0017761989342806395
237792,Shepherd University,4,593,6,494,1,523,0.0067453625632377737,0.012145748987854251,0.0019120458891013384
139764,Georgia Southwestern State University,6,415,7,392,1,477,0.014457831325301205,0.017857142857142856,0.0020964360587002098
218645,University of South Carolina-Aiken,13,549,8,558,1,542,0.023679417122040074,0.014336917562724014,0.0018450184501845018
229063,Texas Southern University,21,1607,9,1475,1,724,0.013067828251400125,0.0061016949152542374,0.0013812154696132596
121691,University of Redlands,19,725,10,722,1,523,0.026206896551724139,0.013850415512465374,0.0019120458891013384
159966,Nicholls State University,21,1301,0,0,2,1200,0.016141429669485011,0.0,0.0016666666666666668
206604,Wright State University-Main Campus,25,1920,0,0,2,1181,0.013020833333333334,0.0,0.001693480101608806
163046,Loyola University Maryland,12,1069,0,0,2,1008,0.011225444340505144,0.0,0.001984126984126984
215929,University of Scranton,0,943,0,0,2,884,0.0,0.0,0.0022624434389140274
488679,Indiana Wesleyan University-National & Global,0,711,0,0,2,702,0.0,0.0,0.0028490028490028491
236230,Pacific Lutheran University,7,649,0,0,2,589,0.01078582434514638,0.0,0.0033955857385398981
219347,South Dakota School of Mines and Technology,8,459,0,474,2,455,0.017429193899782137,0.0,0.0043956043956043956
219082,Dakota State University,3,405,0,0,2,388,0.0074074074074074077,0.0,0.0051546391752577319
198613,Guilford College,5,360,0,0,2,372,0.013888888888888888,0.0,0.0053763440860215058
217721,Benedict College,12,711,0,0,2,356,0.016877637130801686,0.0,0.0056179775280898875
175078,Southwest Minnesota State University,4,341,0,0,2,347,0.011730205278592375,0.0,0.005763688760806916
150066,Anderson University,4,396,0,0,2,327,0.010101010101010102,0.0,0.0061162079510703364
482936,Florida Polytechnic University,12,315,0,0,2,308,0.0380952380952381,0.0,0.0064935064935064939
157535,University of Pikeville,4,289,0,328,2,305,0.01384083044982699,0.0,0.0065573770491803279
215105,The University of the Arts,5,425,0,0,2,297,0.011764705882352941,0.0,0.0067340067340067337
236452,Saint Martin's University,1,241,0,0,2,292,0.0041493775933609959,0.0,0.00684931506849315
182980,New England College,0,409,0,0,2,288,0.0,0.0,0.0069444444444444441
211556,Chatham University,0,282,0,0,2,260,0.0,0.0,0.0076923076923076927
228501,Sul Ross State University,0,344,0,0,2,242,0.0,0.0,0.0082644628099173556
174817,Saint Mary's University of Minnesota,12,306,0,0,2,239,0.0392156862745098,0.0,0.008368200836820083
230913,Northern Vermont University,2,418,0,318,2,226,0.0047846889952153108,0.0,0.0088495575221238937
188304,Western New Mexico University,5,287,0,0,2,223,0.017421602787456445,0.0,0.0089686098654708519
202170,Columbus College of Art and Design,4,242,0,0,2,223,0.016528925619834711,0.0,0.0089686098654708519
180522,Montana State University-Northern,0,189,0,0,2,195,0.0,0.0,0.010256410256410256
203757,Lourdes University,6,193,0,0,2,182,0.031088082901554404,0.0,0.01098901098901099
205203,University of Rio Grande,12,368,0,0,2,178,0.032608695652173912,0.0,0.011235955056179775
220473,Johnson University,0,170,0,145,2,160,0.0,0.0,0.0125
200226,Mayville State University,13,139,0,0,2,142,0.093525179856115109,0.0,0.014084507042253521
463056,University of Connecticut-Hartford Campus,0,629,1,631,2,666,0.0,0.0015847860538827259,0.003003003003003003
441937,California State University-Channel Islands,5,970,1,887,2,632,0.0051546391752577319,0.0011273957158962795,0.0031645569620253164
