state_rank,Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020,ADDR,CITY,STABBR,ZIP,LONGITUD,LATITUDE,COSTT4_A,COSTT4_P,total_cost
2,216287,Swarthmore College,53,414,64,417,54,373,0.1280193236714976,0.15347721822541965,0.1447721179624665,500 College Ave,Swarthmore,PA,19081,-75.354278,39.905159,73932,0,295728
20,217156,Brown University,246,1652,258,1660,238,1751,0.14891041162227603,0.15542168674698795,0.13592233009708737,One Prospect Street,Providence,RI,2912,-71.40385,41.82617,77490,0,309960
20,217518,Roger Williams University,6,1040,5,1113,4,999,0.0057692307692307696,0.0044923629829290209,0.004004004004004004,One Old Ferry Road,Bristol,RI,02809-2921,-71.260374,41.650214,54865,0,219460
20,217536,Salve Regina University,7,493,8,655,8,549,0.014198782961460446,0.012213740458015267,0.014571948998178506,100 Ochre Point Avenue,Newport,RI,02840-4192,-71.30124,41.471545,61072,0,244288
20,217402,Providence College,15,1122,17,1094,14,1000,0.013368983957219251,0.015539305301645339,0.014,1 Cunningham Square,Providence,RI,02918-0001,-71.437446,41.842742,69407,0,277628
20,217235,Johnson & Wales University-Providence,30,1445,48,1494,14,1219,0.020761245674740483,0.0321285140562249,0.011484823625922888,8 Abbott Park Place,Providence,RI,02903-3703,-71.41277,41.819956,51167,0,204668
20,217165,Bryant University,46,867,52,854,32,806,0.0530565167243368,0.060889929742388757,0.039702233250620347,1150 Douglas Pike,Smithfield,RI,02917-1291,-71.539547,41.920092,62855,0,251420
20,217484,University of Rhode Island,19,3058,26,3140,33,3302,0.0062132112491824721,0.0082802547770700636,0.0099939430648092065,"Green Hall, 35 Campus Avenue",Kingston,RI,2881,-71.527356,41.484691,30339,0,121356
23,218663,University of South Carolina-Columbia,49,5854,78,6286,52,5742,0.0083703450632046459,0.012408526885141585,0.0090560780215952624,Columbia-Campus,Columbia,SC,29208,-81.026935,33.996788,28602,0,114408
23,218645,University of South Carolina-Aiken,13,549,8,558,1,542,0.023679417122040074,0.014336917562724014,0.0018450184501845018,471 University Pkwy,Aiken,SC,29801,-81.767612,33.572704,20735,0,82940
23,217633,Anderson University,5,643,3,639,2,698,0.0077760497667185074,0.0046948356807511738,0.0028653295128939827,316 Boulevard,Anderson,SC,29621-4035,-82.640358,34.5152,44481,0,177924
23,218733,South Carolina State University,4,541,3,371,3,479,0.0073937153419593345,0.0080862533692722376,0.0062630480167014616,300 College St NE,Orangeburg,SC,29117-0001,-80.848722,33.497968,30015,0,120060
